No.,Name,Link,Country,Group
88,PunjabiZindabadTV,https://media.streambrothers.com:1936/8522/8522/playlist.m3u8,IND,Entertainment
89,RadioHit,http://cdn12.henico.net:8080/live/jbani/index.m3u8,IND,Entertainment
90,RadioShanson,https://live.wmncdn.net/jantatv/live.stream/index.m3u8,IND,Entertainment
91,Retro Music,http://159.203.9.134/hls/jhanjar_music/jhanjar_music.m3u8,IND,Music
92,Roal TV,https://live.hungama.com/linear/kadak-hits/playlist.m3u8,IND,Music
93,RodnoeKino,http://103.81.104.118/hls/stream8.m3u8,IND,Entertainment
94,RTV Music,http://208.115.215.42/Utsav_Gold_HD/index.m3u8,IND,Movie
95,Sangsad TV,https://cdn30.liveonlineservices.com/hls/tagtv.m3u8,IND,News
96,Show Box,https://vidcdn.vidgyor.com/kat-origin/liveabr/playlist.m3u8,IND,News
97,Shubhsandesh,http://103.199.160.85/Content/masthi/Live/Channel(Masthi)/index.m3u8,IND,Music
98,SonyBBCEarthHD,https://live.wmncdn.net/highnews/swaraj.stream/index.m3u8,IND,Entertainment
99,SpacetoonArabic,http://208.115.215.42/Utsav_Plus_HD/playlist.m3u8,IND,Drama
100,SpacetoonIndonesia,http://103.81.104.118/hls/stream19.m3u8,IND,Movie
101,Star Gold,http://103.81.104.118/hls/stream5.m3u8,IND,Entertainment
102,Star Hollywood,https://6284rn2xr7xv-hls-live.wmncdn.net/shubhsandeshtv1/live123.stream/index.m3u8,IND,Religious
103,StarGoldHD,http://rtmp.smartstream.video:1935/mhoneshradha/mhoneshradha/playlist.m3u8,IND,Religious
104,StarPlusHD,http://stream.pztv.online/pztv/playlist.m3u8,IND,Entertainment
105,STRK,https://live.hungama.com/linear/pop-pataka/playlist.m3u8,IND,Music
106,Wild Side,https://namdhari.tv/live/sbs1.m3u8,IND,Entertainment
107,Xite Music (DE),https://live.hungama.com/linear/nazrana/playlist.m3u8,IND,Music
108,YonhapNewsTV,https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/master.m3u8,IND,Entertainment
109,ZharPtitsa,https://6zklxbgpdw9b-hls-live.5centscdn.com/next/c9a1fdac6e082dd89e7173244f34d7b3.sdp/playlist.m3u8,IND,Entertainment
110,Zoom,https://vidcdn.vidgyor.com/news24-origin/liveabr/news24-origin/live1/playlist.m3u8,IND,News
111,Dhinchaak2,https://raw.githubusercontent.com/taodicakhia/IPTV_Exception/master/channels/af/tolomusic.m3u8,INT,Music
112,FirstMusicChannelRussiaHD,http://ott-cdn.ucom.am/s73/index.m3u8,INT,Music
113,GDNSLudhiana,http://ott-cdn.ucom.am/s42/index.m3u8,INT,Music
114,101TeleAntequera,https://live.tvdhaka.com:30443/live/telefilm/chunks.m3u8,INT,Movie
115,3/24,https://somoy.appv.jagobd.com:444/somoy/somoyt000011226615544544.stream/playlist.m3u8,INT,News
116,7SMusic,http://103.106.2.149:13456/sangsad.m3u8,INT,News
117,88Stereo,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/rtvmusic.stream/live-orgin/rtvmusic.stream/chunks.m3u8,INT,Music
118,9XJhakaas,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/royaltv.stream/chunks.m3u8,INT,Entertainment
119,AajTak BD,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/rtv-sg.stream/live-orgin/rtv-sg.stream/chunks.m3u8,INT,Entertainment
120,AbuDhabiSports 2,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/nrb-eu.stream/chunks.m3u8,INT,Entertainment
121,ACCNetwork,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/news24local.stream/live-orgin/news24local.stream/chunks.m3u8,INT,News
122,AdventureSports,http://nandansyst.com/hls/nandan.m3u8,INT,Entertainment
123,Afrobeats,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/nantv.stream/chunks.m3u8,INT,Entertainment
124,Al Jazeera FHD,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/nantv.stream/chunks.m3u8,INT,News
125,Al Jazeera HD,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/mytv-up-off.stream/chunks.m3u8,INT,Drama
126,Amordiscos,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/moviebanglalink2.stream/chunks.m3u8,INT,Movie
127,Anibox,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/mohonatv00000223232244556633.stream/live-orgin/mohonatv00000223232244556633.stream/chunks.m3u8,INT,Movie
128,AnimeTV,http://45.125.221.114:1935/live/megnatv/chunklist.m3u8,INT,Drama
129,Aniplus,https://cdn.appv.jagobd.com:444/live-orgin/magicbanglatv.stream/chunks.m3u8,INT,Kids
130,ArmeniaHayKino,https://server1.jadubd.com/ktvbangla/ktvbangla/playlist.m3u8,INT,Entertainment
131,ArtistAloud,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/jamuna-test-sample-ok.stream/live-orgin/jamuna-test-sample-ok.stream/chunks.m3u8,INT,News
132,AsianetNews,http://162.244.81.142:1935/live/livestream/playlist.m3u8?@amarnettv.live,INT,News
133,1HDMusicTelevision,http://iptv.prosto.tv:7000/ch50/video.m3u8,INT,Movie
134,247CanaldeNoticias,https://bravo.kugo.id/spacetoon/udp.stream/playlist.m3u8,INT,Kids
135,24HourFreeMovies,https://shls-spacetoon-prod-dub.shahid.net/out/v1/6240b773a3f34cca95d119f9e76aec02/index.m3u8,INT,Kids
136,ActivaTV,http://live.netmaxtv.com:8080/live/live/playlist.m3u8,INT,Movie
137,Al Jazeera SD,https://mytime-tcl.amagi.tv/playlist.m3u8,INT,Movie
138,AlfaSport,http://live-edge01.telecentro.net.ar:80/live/msctphd-720/chunklist_w1210381560.m3u8,INT,Music
139,AmediaHit,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master.m3u8,INT,Music
140,AmericanHorrors,https://dje6yassknq8t.cloudfront.net/playlist.m3u8,INT,Movie
141,Anando TV,https://moviesphere-roku.amagi.tv/playlist720lp.m3u8,INT,Movie
142,AnimaxAsia,https://v2.catcast.tv/content/33816/index.m3u8,INT,Music
143,AnimaxKorea,http://v1.catcast.me/content/33816/index.m3u8,INT,Music
144,AntenaSport,http://bitcdn-kronehit.bitmovin.com/v2/hls/chunklist_b3128000.m3u8,INT,Music
145,ArabicaTV,https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8,INT,Music
146,ATG,https://v2.catcast.tv/content/38801/index.m3u8,INT,Movie
147,ATVFilmzone,http://ip2121.com:8081/live/hbo/playlist.m3u8,INT,Movie
148,ATX,http://14.199.164.20:4001/play/a0qx/index.m3u8,INT,Entertainment
149,BahrainSports2,http://longstream-03.ajaah.com/PlayBoxTV/SaharaFilmy/playlist.m3u8,INT,Movie
150,Bangla 21,https://linear-137.frequency.stream/dist/localnow/137/hls/master/playlist.m3u8,INT,Movie
151,Bangla TV,http://208.86.19.13:81/604.stream/index.m3u8,INT,News
152,BarazaTV,http://m-c01-j2apps.s.llnwi.net/hls/0950.DabanggTV.in_480p/index.m3u8,INT,Movie
153,BBSTV,https://stmv3.voxtvhd.com.br/dreikotv/dreikotv/playlist.m3u8,INT,Kids
154,BD LIVE,https://allanf181.github.io/adaptive-streams/streams/us/DreamWorksChannelAsia.m3u8,INT,Kids
155,BestCableMasCumbia,https://dai.google.com/linear/hls/event/dfbBGQhPQQqypdEAjpUGlA/master.m3u8,INT,Movie
156,BestCableSportsPeru,https://live.hungama.com/linear/dil-se/playlist.m3u8,INT,Music
157,BilliardsTV,https://live.hungama.com/linear/dhamaal/playlist.m3u8,INT,Music
158,BloodyDisgusting,https://live.wmncdn.net/desichannel/7e2dd0aed46b70a5c77f4affdb702e4b.sdp/mono.m3u8,INT,Music
159,BOXCinema,https://dbmtv.vedge.infomaniak.com/livecast/smil:dbmtv.smil/manifest.m3u8,INT,Music
160,Brat TV,https://vcndstv.teleosmedia.com/stream/dstv/dstv/playlist.m3u8,INT,Music
161,CanalMotor,https://contvanime-littlstar.cinedigm.com/ingest/master.m3u8,INT,Kids
162,CaptitalOTBBetting,https://live.obslivestream.com/cdeportivo/index.m3u8,INT,Sports
163,CBSTV,https://dai.google.com/linear/hls/event/o8Smo_gsSAm26uW9Xkww_g/master.m3u8,INT,Movie
164,CCTV6,https://5592f056abba8.streamlock.net/citytv/citytv/playlist.m3u8,INT,Music
165,CelestialMovies,http://ip2121.com:8081/live/cinemax/playlist.m3u8,INT,Movie
166,Channel 24,https://dai.google.com/linear/hls/event/PFJ1Jhd6SsSMcu3qq86wzQ/master.m3u8,INT,Movie
167,Channel TV,https://stream-us-east-1.getpublica.com/playlist.m3u8,INT,Sports
168,Cine Life,http://210.210.155.37/dr9445/h/h14/index.m3u8,INT,Movie
169,City Music,https://d2up1hmow19bcd.cloudfront.net/livecf/liveracing/playlist.m3u8,INT,Sports
170,CJOnStyle,http://digicom.hls.iptvdc.com/canalmotor/index.m3u8,INT,Sports
171,Colors Bangla HD,https://d2ve4fchffi4n1.cloudfront.net/out/v1/df356edd16f3434ab417f2c48cb1d516/index.m3u8,INT,Sports
172,ContactoDeportivo,https://brat-rakuten.amagi.tv/playlist.m3u8,INT,Movie
173,DD National,https://bloodydisgusting-ingest-roku-us.cinedigm.com/playlist.m3u8,INT,Movie
174,DDNational,https://allanf181.github.io/adaptive-streams/streams/kr/BilliardsTV.m3u8,INT,Movie
175,DDSports,http://51.210.199.29/hls/stream.m3u8,INT,Music
176,DesheBideshe,https://tv.inka.net.pe/bestcablesports/bestcablesports/index.m3u8,INT,Movie
177,DocuBayTV,https://eco.streams.ovh/BarazaTV/BarazarazaTV/BarazaTV/playlist.m3u8,INT,Music
178,DUBBANG Tv,https://5c7b683162943.streamlock.net/live/ngrp:bahrainsportstwo_all/playlist.m3u8,INT,Sports
179,E24,https://allanf181.github.io/adaptive-streams/streams/kr/BadukTV.m3u8,INT,Sports
180,FAN,https://sub2.neetball.net/live/neet.m3u8,INT,Kids
181,FirstMusicChannel4K,http://ott-cdn.ucom.am/s94/index.m3u8,INT,Movie
182,FirstMusicChannelRussiaHD,http://ott-cdn.ucom.am/s48/index.m3u8,INT,Movie
183,FirstMusicChannelRussiaHD,https://httpcache0-00688-cacheliveedge0.dna.qbrick.com/00688-cacheliveedge0/out/u/atg_sdi_1_free.m3u8,INT,Sports
184,FoodFood,https://allanf181.github.io/adaptive-streams/streams/kr/AsiaN.m3u8,INT,Movie
185,GlobalPunjab,http://ott-cdn.ucom.am/s22/index.m3u8,INT,Movie
186,HBO,https://stream1.antenaplay.ro/dfs/farasecrete5/playlist.m3u8,INT,Sports
187,HulchulTVCanada,https://allanf181.github.io/adaptive-streams/streams/kr/Aniplus.m3u8,INT,Kids
188,Independent,https://allanf181.github.io/adaptive-streams/streams/kr/Anione.m3u8,INT,Kids
189,InetTV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8,INT,Kids
190,IPTVPLAYFantastika,https://allanf181.github.io/adaptive-streams/streams/kr/AnimaxKorea.m3u8,INT,Kids
191,ITV,https://livecdn.fptplay.net/hda3/animaxport_vhls.smil/playlist.m3u8,INT,Kids
192,iTv Music (Turkty),https://allanf181.github.io/adaptive-streams/streams/kr/Anibox.m3u8,INT,Kids
193,JantaTV,http://170.178.189.66:1935/live/Stream1/playlist.m3u8,INT,Movie
194,JhanjarMusic,https://dai2.xumo.com/amagi_hls_data_xumo1212A-redboxamericanclassics/CDN/playlist.m3u8,INT,Movie
195,JooMovies,https://okkotv-live.cdnvideo.ru/channel/Amedia_Hit_HD.m3u8,INT,Movie
196,KadakHits,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/playlist.m3u8,INT,Sports
197,KanshiTV,https://dev.aftermind.xyz/edge-hls/unitrust/alfasports/index.m3u8?token=8TXWzhY3h6jrzqEqu,INT,Sports
198,KhabrainAbhiTak,https://www.hellasnet.tv/rest.live.hn/ws.alf/playlist.m3u8,INT,Movie
199,K-POP Music,http://two.alfajertv.com:8081/AlfajertvHDTwo_web/web/playlist.m3u8,INT,Movie
